stem,detector,bin_name,severity,n_gt,recall
BJ_Baidu_199,yolo_nano,heavy,0.5701570510864258,7,0.5714285714285714
BJ_Baidu_202,yolo_nano,heavy,0.6011950969696045,9,0.4444444444444444
BJ_Baidu_207,yolo_nano,heavy,0.4431260228157043,9,0.6666666666666666
BJ_Baidu_21,yolo_nano,heavy,0.5726937055587769,7,0.5714285714285714
BJ_Baidu_212,yolo_nano,heavy,0.610622227191925,5,0.4
BJ_Baidu_217,yolo_nano,heavy,0.518560528755188,11,0.36363636363636365
BJ_Baidu_220,yolo_nano,moderate,0.3741465806961059,4,0.0
BJ_Baidu_221,yolo_nano,heavy,0.4844965934753418,13,0.46153846153846156
BJ_Baidu_232,yolo_nano,heavy,0.699601411819458,3,0.3333333333333333
BJ_Baidu_248,yolo_nano,heavy,0.6078948974609375,8,0.875
BJ_Baidu_260,yolo_nano,heavy,0.5877929925918579,66,0.0
BJ_Baidu_275,yolo_nano,heavy,0.4375215768814087,25,0.36
BJ_Baidu_279,yolo_nano,heavy,0.507033109664917,2,0.0
BJ_Baidu_284,yolo_nano,heavy,0.4757112860679626,10,0.6
BJ_Baidu_287,yolo_nano,light,0.3008337616920471,15,0.6
BJ_Baidu_290,yolo_nano,heavy,0.6333423256874084,1,0.0
BJ_Baidu_309,yolo_nano,heavy,0.519275426864624,22,0.13636363636363635
BJ_Baidu_320,yolo_nano,moderate,0.416780948638916,20,0.15
BJ_Baidu_333,yolo_nano,moderate,0.3924881815910339,10,0.3
BJ_Baidu_363,yolo_nano,heavy,0.5606855154037476,15,0.0
BJ_Baidu_384,yolo_nano,heavy,0.4708451628684997,9,0.6666666666666666
BJ_Baidu_40,yolo_nano,moderate,0.3816282749176025,8,0.0
BJ_Baidu_41,yolo_nano,moderate,0.3421050906181335,16,0.0625
BJ_Baidu_421,yolo_nano,clear,0.2378543615341186,3,0.6666666666666666
BJ_Baidu_427,yolo_nano,heavy,0.6973145008087158,2,0.5
BJ_Baidu_443,yolo_nano,heavy,0.5320509672164917,2,0.5
BJ_Baidu_447,yolo_nano,heavy,0.5680524110794067,34,0.35294117647058826
BJ_Baidu_450,yolo_nano,heavy,0.7335384488105774,13,1.0
