stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group
GSGL_Baidu_1163,GSGL_Baidu_1163.png,JPEGImages/GSGL_Baidu_1163.png,0.3070329427719116,light,0.6410256410256411,0.1025641025641025,0.2564102564102564,0.3333333333333333,intermediate
GSGL_Baidu_133,GSGL_Baidu_133.png,JPEGImages/GSGL_Baidu_133.png,0.2186252176761627,clear,0.0833333333333333,0.5833333333333334,0.5,0.38888888888888884,intermediate
GSGL_Baidu_145,GSGL_Baidu_145.png,JPEGImages/GSGL_Baidu_145.png,0.3246533572673797,light,0.0,0.0,0.2727272727272727,0.0909090909090909,failure
GSGL_Baidu_261,GSGL_Baidu_261.png,JPEGImages/GSGL_Baidu_261.png,0.2041119337081909,clear,0.0,0.0,0.0,0.0,failure
GSGL_Baidu_300,GSGL_Baidu_300.png,JPEGImages/GSGL_Baidu_300.png,0.2201332449913025,clear,0.2727272727272727,0.0,0.0909090909090909,0.1212121212121212,failure
GSGL_Baidu_476,GSGL_Baidu_476.png,JPEGImages/GSGL_Baidu_476.png,0.3079984188079834,light,0.0,0.0,0.0,0.0,failure
GSGL_Baidu_489,GSGL_Baidu_489.png,JPEGImages/GSGL_Baidu_489.png,0.3391606211662292,light,0.8611111111111112,0.5,0.5833333333333334,0.6481481481481483,intermediate
GSGL_Baidu_619,GSGL_Baidu_619.png,JPEGImages/GSGL_Baidu_619.png,0.2756158709526062,light,0.625,0.375,0.5,0.5,intermediate
GSGL_Baidu_684,GSGL_Baidu_684.png,JPEGImages/GSGL_Baidu_684.png,0.329265832901001,light,0.8,0.6,0.6,0.6666666666666666,intermediate
GSGL_Baidu_788,GSGL_Baidu_788.png,JPEGImages/GSGL_Baidu_788.png,0.3440716862678528,light,0.6666666666666666,0.1805555555555555,0.4166666666666667,0.4212962962962963,intermediate
GSGL_Baidu_845,GSGL_Baidu_845.png,JPEGImages/GSGL_Baidu_845.png,0.3247974514961242,light,0.0,0.125,0.25,0.125,failure
GSGL_Baidu_873,GSGL_Baidu_873.png,JPEGImages/GSGL_Baidu_873.png,0.3045149445533752,light,0.1176470588235294,0.0294117647058823,0.1470588235294117,0.09803921568627445,failure
GSGL_Bing_210,GSGL_Bing_210.png,JPEGImages/GSGL_Bing_210.png,0.2797137796878814,light,0.2,0.2,0.2,0.20000000000000004,failure
GSGL_Bing_217,GSGL_Bing_217.png,JPEGImages/GSGL_Bing_217.png,0.2403514683246612,clear,0.0,0.0,0.0,0.0,failure
GSGL_Bing_535,GSGL_Bing_535.png,JPEGImages/GSGL_Bing_535.png,0.3476906418800354,light,0.0,0.0,0.1111111111111111,0.037037037037037035,failure
GSGL_Bing_681,GSGL_Bing_681.png,JPEGImages/GSGL_Bing_681.png,0.2672338783740997,light,0.25,0.25,0.375,0.2916666666666667,failure
GSGL_Google_120,GSGL_Google_120.png,JPEGImages/GSGL_Google_120.png,0.0099976956844329,clear,0.0,0.0,0.0,0.0,failure
GSGL_Google_121,GSGL_Google_121.png,JPEGImages/GSGL_Google_121.png,0.2718621492385864,light,0.0,0.0,0.0,0.0,failure
HC_Bing_660,HC_Bing_660.png,JPEGImages/HC_Bing_660.png,0.3384445011615753,light,1.0,1.0,1.0,1.0,clear
HC_Google_364,HC_Google_364.png,JPEGImages/HC_Google_364.png,0.2836930155754089,light,0.4210526315789473,0.2105263157894736,0.1578947368421052,0.26315789473684204,failure
HC_Google_613,HC_Google_613.png,JPEGImages/HC_Google_613.png,0.1945907920598983,clear,0.1818181818181818,0.5454545454545454,0.6363636363636364,0.45454545454545453,intermediate
HEB_Baidu_534,HEB_Baidu_534.png,JPEGImages/HEB_Baidu_534.png,0.3222516477108001,light,0.875,0.875,0.875,0.875,clear
HEB_Bing_108,HEB_Bing_108.png,JPEGImages/HEB_Bing_108.png,0.2745571136474609,light,0.3636363636363636,0.4545454545454545,0.1818181818181818,0.3333333333333333,intermediate
HEB_Bing_122,HEB_Bing_122.png,JPEGImages/HEB_Bing_122.png,0.1899871677160263,clear,0.0,0.0,0.0,0.0,failure
HEB_Bing_340,HEB_Bing_340.png,JPEGImages/HEB_Bing_340.png,0.311462938785553,light,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,clear
HEB_Bing_365,HEB_Bing_365.png,JPEGImages/HEB_Bing_365.png,0.2984947562217712,light,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.6666666666666666,intermediate
HEB_Bing_398,HEB_Bing_398.png,JPEGImages/HEB_Bing_398.png,0.2203696966171264,clear,0.1538461538461538,0.1538461538461538,0.3846153846153846,0.23076923076923073,failure
HEB_Bing_403,HEB_Bing_403.png,JPEGImages/HEB_Bing_403.png,0.2508193850517273,clear,0.0,0.0,0.0,0.0,failure
HEB_Bing_560,HEB_Bing_560.png,JPEGImages/HEB_Bing_560.png,0.3152459263801574,light,0.625,0.75,0.875,0.75,clear
HEB_Bing_653,HEB_Bing_653.png,JPEGImages/HEB_Bing_653.png,0.2426196038722992,clear,0.3368421052631579,0.0842105263157894,0.231578947368421,0.21754385964912273,failure
HEB_Google_102,HEB_Google_102.png,JPEGImages/HEB_Google_102.png,0.1676497012376785,clear,0.0,0.0,0.0,0.0,failure
HEB_Google_399,HEB_Google_399.png,JPEGImages/HEB_Google_399.png,0.3456240594387054,light,0.1818181818181818,0.0,0.6363636363636364,0.2727272727272727,failure
HEB_Google_556,HEB_Google_556.png,JPEGImages/HEB_Google_556.png,0.2948170006275177,light,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.40740740740740744,intermediate
HEB_Google_593,HEB_Google_593.png,JPEGImages/HEB_Google_593.png,0.3288871049880981,light,0.0,0.0,0.1666666666666666,0.05555555555555553,failure
HF_Baidu_136,HF_Baidu_136.png,JPEGImages/HF_Baidu_136.png,0.2802595496177673,light,0.5,0.5,0.5,0.5,intermediate
HF_Baidu_202,HF_Baidu_202.png,JPEGImages/HF_Baidu_202.png,0.3047553896903991,light,0.0,0.0,0.25,0.08333333333333333,failure
HF_Bing_038,HF_Bing_038.png,JPEGImages/HF_Bing_038.png,0.1541048884391784,clear,0.0,0.4,0.2,0.20000000000000004,failure
HF_Bing_141,HF_Bing_141.png,JPEGImages/HF_Bing_141.png,0.2142597734928131,clear,0.0,0.2,0.4,0.20000000000000004,failure
HF_Bing_250,HF_Bing_250.png,JPEGImages/HF_Bing_250.png,0.1925361454486847,clear,0.0,0.0,0.0,0.0,failure
HF_Bing_60,HF_Bing_60.png,JPEGImages/HF_Bing_60.png,0.2759699523448944,light,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.40740740740740744,intermediate
HF_Google_194,HF_Google_194.png,JPEGImages/HF_Google_194.png,0.3222530484199524,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure
HF_Google_337,HF_Google_337.png,JPEGImages/HF_Google_337.png,0.3332157731056213,light,0.5,0.3333333333333333,0.5,0.4444444444444444,intermediate
HF_Google_559,HF_Google_559.png,JPEGImages/HF_Google_559.png,0.3211514353752136,light,0.1363636363636363,0.0,0.0454545454545454,0.06060606060606057,failure
HF_Google_576,HF_Google_576.png,JPEGImages/HF_Google_576.png,0.3381457924842834,light,0.6341463414634146,0.4878048780487805,0.4634146341463415,0.5284552845528455,intermediate
